Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     17.99     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00     17.99     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     17.99     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00     17.99     0.00      458     0.00     0.00  std::vector<Position, std::allocator<Position> >::back()
  0.00     17.99     0.00      420     0.00     0.00  std::operator==(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.00     17.99     0.00      400     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00     17.99     0.00      400     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00     17.99     0.00      400     0.00     0.00  std::_Bit_iterator::operator++()
  0.00     17.99     0.00      400     0.00     0.00  std::_Bit_const_iterator::operator++()
  0.00     17.99     0.00      301     0.00     0.00  std::vector<std::unique_ptr<AntT, std::default_delete<AntT> >, std::allocator<std::unique_ptr<AntT, std::default_delete<AntT> > > >::size() const
  0.00     17.99     0.00      300     0.00     0.00  std::unique_ptr<AntT, std::default_delete<AntT> >::get() const
  0.00     17.99     0.00      300     0.00     0.00  std::unique_ptr<AntT, std::default_delete<AntT> >::operator->() const
  0.00     17.99     0.00      300     0.00     0.00  std::__uniq_ptr_impl<AntT, std::default_delete<AntT> >::_M_ptr() const
  0.00     17.99     0.00      300     0.00     0.00  std::_Head_base<0ul, AntT*, false>::_M_head(std::_Head_base<0ul, AntT*, false> const&)
  0.00     17.99     0.00      300     0.00     0.00  std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >::_M_head(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> > const&)
  0.00     17.99     0.00      300     0.00     0.00  std::vector<std::unique_ptr<AntT, std::default_delete<AntT> >, std::allocator<std::unique_ptr<AntT, std::default_delete<AntT> > > >::operator[](unsigned long)
  0.00     17.99     0.00      300     0.00     0.00  AntT* const& std::__get_helper<0ul, AntT*, std::default_delete<AntT> >(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> > const&)
  0.00     17.99     0.00      300     0.00     0.00  std::tuple_element<0ul, std::tuple<AntT*, std::default_delete<AntT> > >::type const& std::get<0ul, AntT*, std::default_delete<AntT> >(std::tuple<AntT*, std::default_delete<AntT> > const&)
  0.00     17.99     0.00      111     0.00     0.00  Position& std::vector<Position, std::allocator<Position> >::emplace_back<Position>(Position&&)
  0.00     17.99     0.00      111     0.00     0.00  std::vector<Position, std::allocator<Position> >::push_back(Position&&)
  0.00     17.99     0.00      100     0.00     0.00  AntT::restartPath()
  0.00     17.99     0.00      100     0.00     0.12  AntT::findSolution()
  0.00     17.99     0.00      100     0.00     0.00  GraphT::updateTdiValues(std::vector<Position, std::allocator<Position> > const&)
